Année,Secteurs géographiques,Numéro du quartier,Nom du quartier,Nombre de pièces principales,Epoque de construction,Type de location,Loyers de référence,Loyers de référence majorés,Loyers de référence minorés,Ville,Numéro INSEE du quartier
2025,9,69,Grandes-Carrières,3,Apres 1990,non meublé,24.5,29.4,17.2,PARIS,7511869
2023,7,61,Auteuil,2,Avant 1946,non meublé,25.0,30.0,17.5,PARIS,7511661
2020,6,66,Plaine de Monceaux,3,1946-1970,meublé,25.3,30.36,17.71,PARIS,7511766
2023,11,41,Folie-Méricourt,4,1971-1990,non meublé,20.0,24.0,14.0,PARIS,7511141
2020,3,62,Muette,2,Avant 1946,meublé,28.3,33.96,19.81,PARIS,7511662
2020,1,28,Gros-Caillou,3,1946-1970,meublé,28.6,34.32,20.02,PARIS,7510728
2021,9,46,Picpus,4,1946-1970,meublé,19.7,23.64,13.79,PARIS,7511246
2025,4,9,Arts-et-Metiers,3,Apres 1990,meublé,27.8,33.4,19.5,PARIS,7510309
2023,12,56,Plaisance,1,1971-1990,non meublé,27.1,32.5,19.0,PARIS,7511456
2019,3,62,Muette,3,1946-1970,non meublé,24.8,29.8,17.4,PARIS,7511662
2019,11,77,Belleville,4,Apres 1990,meublé,23.8,28.6,16.7,PARIS,7512077
2019,3,32,Europe,1,Avant 1946,meublé,31.1,37.3,21.8,PARIS,7510832
2021,10,67,Batignolles,4,Apres 1990,non meublé,23.6,28.32,16.52,PARIS,7511767
2022,12,56,Plaisance,4,Avant 1946,meublé,21.9,26.28,15.33,PARIS,7511456
2023,2,3,Palais-Royal,4,1946-1970,non meublé,23.6,28.3,16.5,PARIS,7510103
2022,10,55,Petit-Montrouge,1,1946-1970,non meublé,25.2,30.24,17.64,PARIS,7511455
2025,7,60,Javel 15Art,4,1946-1970,non meublé,23.3,28.0,16.3,PARIS,7511560
2022,2,30,Faubourg-du-Roule,1,1971-1990,meublé,32.9,39.48,23.03,PARIS,7510830
2022,4,17,Saint-Victor,4,Apres 1990,meublé,27.9,33.48,19.53,PARIS,7510517
2023,9,46,Picpus,2,1971-1990,meublé,26.6,31.9,18.6,PARIS,7511246
2019,4,10,Enfants-Rouges,1,1971-1990,non meublé,29.1,34.9,20.4,PARIS,7510310
2022,10,55,Petit-Montrouge,3,1946-1970,non meublé,21.6,25.92,15.12,PARIS,7511455
2022,11,43,Roquette,1,1971-1990,meublé,29.7,35.64,20.79,PARIS,7511143
2019,6,65,Ternes,1,1946-1970,meublé,30.2,36.2,21.1,PARIS,7511765
2021,10,55,Petit-Montrouge,3,1946-1970,non meublé,21.3,25.56,14.91,PARIS,7511455
2019,7,59,Grenelle,2,1946-1970,meublé,25.8,31.0,18.1,PARIS,7511559
2024,2,22,Odeon,1,Avant 1946,meublé,38.8,46.6,27.2,PARIS,7510622
2020,4,6,Vivienne,2,Avant 1946,meublé,31.3,37.56,21.91,PARIS,7510206
2021,14,47,Bercy,1,Avant 1946,meublé,27.8,33.36,19.46,PARIS,7511247
2023,4,6,Vivienne,2,Avant 1946,meublé,32.4,38.9,22.7,PARIS,7510206
2020,11,40,Hôpital-Saint-Louis,1,Apres 1990,non meublé,24.1,28.92,16.87,PARIS,7511040
2019,2,4,Place-Vendôme,3,1946-1970,non meublé,21.5,25.8,15.1,PARIS,7510104
2024,7,59,Grenelle,3,Avant 1946,non meublé,24.6,29.5,17.2,PARIS,7511559
2019,2,5,Gaillon,1,1971-1990,non meublé,27.4,32.9,19.2,PARIS,7510205
2022,3,63,Porte-Dauphine,3,Apres 1990,meublé,27.9,33.48,19.53,PARIS,7511663
2020,3,64,Chaillot,4,1971-1990,non meublé,24.9,29.88,17.43,PARIS,7511664
2021,2,4,Place-Vendôme,1,Avant 1946,non meublé,33.1,39.72,23.17,PARIS,7510104
2023,13,75,Amérique,3,Avant 1946,non meublé,20.7,24.8,14.5,PARIS,7511975
2024,11,68,Epinettes,1,Apres 1990,meublé,28.4,34.1,19.9,PARIS,7511768
2025,13,74,Pont-de-Flandre,2,1946-1970,non meublé,21.0,25.2,14.7,PARIS,7511974
2019,6,58,Necker,4,Apres 1990,meublé,26.7,32.0,18.7,PARIS,7511558
2019,7,60,Javel 15Art,2,Avant 1946,non meublé,23.8,28.6,16.7,PARIS,7511560
2021,4,7,Mail,1,1946-1970,non meublé,30.0,36.0,21.0,PARIS,7510207
2020,5,53,Montparnasse,2,1971-1990,meublé,25.3,30.36,17.71,PARIS,7511453
2024,13,80,Charonne,3,1946-1970,non meublé,17.6,21.1,12.3,PARIS,7512080
2025,1,23,Notre-Dame-des-Champs,2,Avant 1946,non meublé,30.6,36.7,21.4,PARIS,7510623
2024,10,44,Sainte-Marguerite,4,1946-1970,non meublé,21.7,26.0,15.2,PARIS,7511144
2020,2,1,St-Germain-l'Auxerrois,1,1971-1990,non meublé,27.9,33.48,19.53,PARIS,7510101
2019,13,73,Villette,4,Apres 1990,meublé,18.4,22.1,12.9,PARIS,7511973
2025,7,59,Grenelle,4,1946-1970,meublé,26.6,31.9,18.6,PARIS,7511559
2022,9,46,Picpus,3,1971-1990,meublé,24.8,29.76,17.36,PARIS,7511246
2025,2,15,Arsenal,1,Avant 1946,meublé,40.0,48.0,28.0,PARIS,7510415
2021,7,61,Auteuil,4,Apres 1990,non meublé,23.7,28.44,16.59,PARIS,7511661
2019,4,11,Archives,3,Apres 1990,non meublé,21.7,26.0,15.2,PARIS,7510311
2024,1,25,Saint-Thomas-d'Aquin,4,Avant 1946,meublé,33.5,40.2,23.4,PARIS,7510725
2020,4,12,Sainte-Avoie,4,1946-1970,meublé,26.0,31.2,18.2,PARIS,7510312
2021,6,65,Ternes,1,1971-1990,non meublé,28.8,34.56,20.16,PARIS,7511765
2022,2,15,Arsenal,3,Avant 1946,meublé,31.2,37.44,21.84,PARIS,7510415
2024,2,1,St-Germain-l'Auxerrois,4,Apres 1990,meublé,30.6,36.7,21.4,PARIS,7510101
2019,11,41,Folie-Méricourt,4,Apres 1990,non meublé,21.1,25.3,14.8,PARIS,7511141
2023,2,34,Chaussée-d'Antin,3,1946-1970,non meublé,22.4,26.9,15.7,PARIS,7510934
2024,6,58,Necker,3,Apres 1990,non meublé,24.4,29.3,17.1,PARIS,7511558
2024,2,21,Monnaie,1,Avant 1946,non meublé,34.0,40.8,23.8,PARIS,7510621
2020,2,34,Chaussée-d'Antin,4,1946-1970,non meublé,22.9,27.48,16.03,PARIS,7510934
2019,13,72,La Chapelle,3,Avant 1946,meublé,22.8,27.4,16.0,PARIS,7511872
2020,4,19,Val-de-Grace,1,1946-1970,non meublé,29.8,35.76,20.86,PARIS,7510519
2025,14,79,Père-Lachaise,2,Apres 1990,non meublé,24.6,29.5,17.2,PARIS,7512079
2020,1,25,Saint-Thomas-d'Aquin,2,1946-1970,meublé,30.1,36.12,21.07,PARIS,7510725
2019,11,41,Folie-Méricourt,3,Avant 1946,non meublé,22.6,27.1,15.8,PARIS,7511141
2022,6,65,Ternes,1,1971-1990,meublé,33.0,39.6,23.1,PARIS,7511765
