Année,Secteurs géographiques,Numéro du quartier,Nom du quartier,Nombre de pièces principales,Epoque de construction,Type de location,Loyers de référence,Loyers de référence majorés,Loyers de référence minorés,Ville,Numéro INSEE du quartier
2020,13,78,Saint-Fargeau,2,Avant 1946,meublé,25.0,30.0,17.5,PARIS,7512078
2020,1,26,Invalides,3,Apres 1990,non meublé,28.3,33.96,19.81,PARIS,7510726
2020,2,3,Palais-Royal,3,Apres 1990,meublé,27.7,33.24,19.39,PARIS,7510103
2022,11,68,Epinettes,1,1971-1990,non meublé,26.4,31.68,18.48,PARIS,7511768
2024,4,12,Sainte-Avoie,1,1971-1990,meublé,35.6,42.7,24.9,PARIS,7510312
2023,4,20,Sorbonne,1,Apres 1990,meublé,32.8,39.4,23.0,PARIS,7510520
2025,12,51,Maison-Blanche,2,1946-1970,non meublé,24.1,28.9,16.9,PARIS,7511351
2023,1,23,Notre-Dame-des-Champs,3,Avant 1946,non meublé,27.5,33.0,19.3,PARIS,7510623
2019,1,28,Gros-Caillou,1,1946-1970,non meublé,30.1,36.1,21.1,PARIS,7510728
2019,2,34,Chaussée-d'Antin,2,1946-1970,meublé,30.1,36.1,21.1,PARIS,7510934
2019,14,79,Père-Lachaise,4,Apres 1990,non meublé,20.9,25.1,14.6,PARIS,7512079
2019,2,5,Gaillon,2,Avant 1946,meublé,31.5,37.8,22.1,PARIS,7510205
2021,5,53,Montparnasse,4,Avant 1946,meublé,23.0,27.6,16.1,PARIS,7511453
2025,2,4,Place-Vendôme,4,1946-1970,non meublé,24.6,29.5,17.2,PARIS,7510104
2020,10,55,Petit-Montrouge,2,1946-1970,meublé,24.2,29.04,16.94,PARIS,7511455
2019,2,13,Saint-Merri,2,Avant 1946,non meublé,27.9,33.5,19.5,PARIS,7510413
2025,2,24,Saint-Germain-des-Prés,2,Avant 1946,meublé,35.0,42.0,24.5,PARIS,7510624
2020,11,43,Roquette,4,1946-1970,non meublé,21.6,25.92,15.12,PARIS,7511143
2020,4,19,Val-de-Grace,4,1971-1990,non meublé,22.9,27.48,16.03,PARIS,7510519
2019,7,60,Javel 15Art,4,1971-1990,non meublé,21.4,25.7,15.0,PARIS,7511560
2019,7,61,Auteuil,2,1971-1990,non meublé,23.2,27.8,16.2,PARIS,7511661
2022,1,23,Notre-Dame-des-Champs,1,1946-1970,meublé,37.6,45.12,26.32,PARIS,7510623
2019,2,1,St-Germain-l'Auxerrois,4,Avant 1946,meublé,28.7,34.4,20.1,PARIS,7510101
2020,13,50,Gare,2,1971-1990,non meublé,17.9,21.48,12.53,PARIS,7511350
2021,11,40,Hôpital-Saint-Louis,4,1946-1970,meublé,24.2,29.04,16.94,PARIS,7511040
2021,4,7,Mail,1,Avant 1946,meublé,35.4,42.48,24.78,PARIS,7510207
2025,3,63,Porte-Dauphine,2,1946-1970,meublé,32.8,39.4,23.0,PARIS,7511663
2020,3,32,Europe,3,1946-1970,non meublé,25.3,30.36,17.71,PARIS,7510832
2022,4,9,Arts-et-Metiers,4,Avant 1946,non meublé,25.7,30.84,17.99,PARIS,7510309
2020,4,6,Vivienne,3,Apres 1990,meublé,26.0,31.2,18.2,PARIS,7510206
2023,1,27,Ecole-Militaire,4,1946-1970,meublé,27.9,33.5,19.5,PARIS,7510727
2025,14,45,Bel-Air,4,1946-1970,meublé,22.0,26.4,15.4,PARIS,7511245
2020,2,15,Arsenal,3,1946-1970,non meublé,21.7,26.04,15.19,PARIS,7510415
2019,4,12,Sainte-Avoie,4,Avant 1946,meublé,28.0,33.6,19.6,PARIS,7510312
2019,2,22,Odeon,1,Apres 1990,meublé,35.1,42.1,24.6,PARIS,7510622
2020,10,67,Batignolles,4,Apres 1990,non meublé,23.5,28.2,16.45,PARIS,7511767
2022,3,62,Muette,2,Avant 1946,meublé,29.1,34.92,20.37,PARIS,7511662
2019,4,9,Arts-et-Metiers,1,Avant 1946,meublé,34.6,41.5,24.2,PARIS,7510309
2023,6,66,Plaine de Monceaux,1,1971-1990,non meublé,29.9,35.9,20.9,PARIS,7511766
2025,11,41,Folie-Méricourt,2,1946-1970,non meublé,25.4,30.5,17.8,PARIS,7511141
2020,4,8,Bonne-Nouvelle,1,Apres 1990,non meublé,28.4,34.08,19.88,PARIS,7510208
2022,13,78,Saint-Fargeau,2,Avant 1946,meublé,25.5,30.6,17.85,PARIS,7512078
2025,2,3,Palais-Royal,3,1971-1990,meublé,27.9,33.5,19.5,PARIS,7510103
2025,4,12,Sainte-Avoie,4,1946-1970,non meublé,24.8,29.8,17.4,PARIS,7510312
2023,1,27,Ecole-Militaire,2,Avant 1946,non meublé,29.1,34.9,20.4,PARIS,7510727
2021,10,49,Salpêtrière,4,Avant 1946,meublé,23.5,28.2,16.45,PARIS,7511349
2021,10,44,Sainte-Marguerite,3,1971-1990,meublé,24.6,29.52,17.22,PARIS,7511144
2021,11,43,Roquette,4,Avant 1946,non meublé,21.6,25.92,15.12,PARIS,7511143
2020,4,14,Saint-Gervais,1,1971-1990,meublé,34.2,41.04,23.94,PARIS,7510414
2024,4,7,Mail,4,1971-1990,non meublé,24.8,29.8,17.4,PARIS,7510207
2025,14,79,Père-Lachaise,2,1971-1990,meublé,25.2,30.2,17.6,PARIS,7512079
2021,11,54,Parc-de-Montsouris,3,1946-1970,non meublé,19.2,23.04,13.44,PARIS,7511454
2021,10,55,Petit-Montrouge,4,Avant 1946,meublé,23.5,28.2,16.45,PARIS,7511455
2019,2,13,Saint-Merri,4,1971-1990,non meublé,22.0,26.4,15.4,PARIS,7510413
2021,13,50,Gare,1,Avant 1946,non meublé,26.4,31.68,18.48,PARIS,7511350
2020,2,24,Saint-Germain-des-Prés,3,Avant 1946,non meublé,27.2,32.64,19.04,PARIS,7510624
2022,14,45,Bel-Air,3,1971-1990,non meublé,19.5,23.4,13.65,PARIS,7511245
2024,13,50,Gare,4,1946-1970,non meublé,15.9,19.1,11.1,PARIS,7511350
2022,13,72,La Chapelle,4,1971-1990,meublé,16.3,19.56,11.41,PARIS,7511872
2022,2,5,Gaillon,3,Avant 1946,non meublé,27.7,33.24,19.39,PARIS,7510205
2023,2,15,Arsenal,4,1946-1970,non meublé,23.6,28.3,16.5,PARIS,7510415
2020,2,21,Monnaie,2,Avant 1946,meublé,31.9,38.28,22.33,PARIS,7510621
2024,10,42,Saint-Ambroise,3,1971-1990,non meublé,23.0,27.6,16.1,PARIS,7511142
2025,12,56,Plaisance,4,Avant 1946,meublé,23.1,27.7,16.2,PARIS,7511456
2021,4,14,Saint-Gervais,3,1971-1990,non meublé,24.4,29.28,17.08,PARIS,7510414
2022,5,38,Porte-Saint-Denis,1,Apres 1990,non meublé,28.9,34.68,20.23,PARIS,7511038
2020,2,3,Palais-Royal,2,Apres 1990,meublé,30.2,36.24,21.14,PARIS,7510103
2024,5,33,Saint-Georges,2,Apres 1990,meublé,30.6,36.7,21.4,PARIS,7510933
2019,2,24,Saint-Germain-des-Prés,4,1971-1990,non meublé,22.0,26.4,15.4,PARIS,7510624
2022,11,41,Folie-Méricourt,2,1946-1970,non meublé,23.7,28.44,16.59,PARIS,7511141
2023,13,50,Gare,1,1946-1970,non meublé,25.1,30.1,17.6,PARIS,7511350
2021,10,44,Sainte-Marguerite,1,1971-1990,non meublé,27.0,32.4,18.9,PARIS,7511144
2020,11,43,Roquette,2,1971-1990,non meublé,22.9,27.48,16.03,PARIS,7511143
2023,5,38,Porte-Saint-Denis,1,Apres 1990,meublé,32.5,39.0,22.8,PARIS,7511038
2019,14,76,Combat,3,1971-1990,non meublé,17.7,21.2,12.4,PARIS,7511976
2022,4,11,Archives,3,1971-1990,meublé,27.8,33.36,19.46,PARIS,7510311
2025,2,31,Madeleine,2,Avant 1946,non meublé,30.7,36.8,21.5,PARIS,7510831
2022,5,53,Montparnasse,4,Avant 1946,meublé,23.2,27.84,16.24,PARIS,7511453
2025,4,11,Archives,3,Avant 1946,non meublé,26.8,32.2,18.8,PARIS,7510311
2025,13,72,La Chapelle,2,Avant 1946,meublé,27.5,33.0,19.3,PARIS,7511872
2022,11,54,Parc-de-Montsouris,4,1946-1970,meublé,24.3,29.16,17.01,PARIS,7511454
2024,11,48,Quinze-Vingts,3,1946-1970,meublé,23.1,27.7,16.2,PARIS,7511248
2022,14,76,Combat,3,Apres 1990,non meublé,20.7,24.84,14.49,PARIS,7511976
2024,9,69,Grandes-Carrières,1,Avant 1946,meublé,31.9,38.3,22.3,PARIS,7511869
2025,10,18,Jardin-des-Plantes,1,1971-1990,meublé,32.8,39.4,23.0,PARIS,7510518
2021,5,38,Porte-Saint-Denis,1,1946-1970,non meublé,28.2,33.84,19.74,PARIS,7511038
2021,2,13,Saint-Merri,3,1971-1990,meublé,26.0,31.2,18.2,PARIS,7510413
2019,13,74,Pont-de-Flandre,4,Avant 1946,meublé,22.3,26.8,15.6,PARIS,7511974
2021,13,80,Charonne,4,1946-1970,meublé,16.2,19.44,11.34,PARIS,7512080
2023,10,49,Salpêtrière,3,Apres 1990,meublé,24.6,29.5,17.2,PARIS,7511349
2020,6,58,Necker,1,Apres 1990,meublé,30.6,36.72,21.42,PARIS,7511558
2022,4,9,Arts-et-Metiers,4,1946-1970,non meublé,23.5,28.2,16.45,PARIS,7510309
2019,10,67,Batignolles,2,1946-1970,non meublé,20.9,25.1,14.6,PARIS,7511767
2020,3,63,Porte-Dauphine,4,Apres 1990,meublé,28.6,34.32,20.02,PARIS,7511663
2023,5,36,Rochechouart,3,Avant 1946,meublé,26.4,31.7,18.5,PARIS,7510936
2021,14,47,Bercy,1,Avant 1946,non meublé,24.7,29.64,17.29,PARIS,7511247
2023,9,46,Picpus,4,1971-1990,meublé,22.5,27.0,15.8,PARIS,7511246
2025,1,23,Notre-Dame-des-Champs,3,Avant 1946,non meublé,29.0,34.8,20.3,PARIS,7510623
2019,10,42,Saint-Ambroise,4,Avant 1946,non meublé,21.0,25.2,14.7,PARIS,7511142
2022,10,18,Jardin-des-Plantes,1,1946-1970,non meublé,25.2,30.24,17.64,PARIS,7510518
2019,2,30,Faubourg-du-Roule,3,1946-1970,non meublé,21.5,25.8,15.1,PARIS,7510830
2024,4,14,Saint-Gervais,1,1971-1990,meublé,35.6,42.7,24.9,PARIS,7510414
2023,2,29,Champs-Elysées,2,Apres 1990,meublé,30.4,36.5,21.3,PARIS,7510829
2022,4,11,Archives,2,1946-1970,meublé,26.3,31.56,18.41,PARIS,7510311
2023,11,68,Epinettes,3,1971-1990,non meublé,20.1,24.1,14.1,PARIS,7511768
2023,2,3,Palais-Royal,1,1971-1990,meublé,34.1,40.9,23.9,PARIS,7510103
2022,1,23,Notre-Dame-des-Champs,2,Avant 1946,non meublé,28.9,34.68,20.23,PARIS,7510623
2021,6,58,Necker,4,1971-1990,non meublé,22.1,26.52,15.47,PARIS,7511558
2019,9,46,Picpus,1,Apres 1990,non meublé,23.3,28.0,16.3,PARIS,7511246
2024,2,30,Faubourg-du-Roule,1,1946-1970,meublé,36.9,44.3,25.8,PARIS,7510830
2019,2,24,Saint-Germain-des-Prés,4,Apres 1990,meublé,29.8,35.8,20.9,PARIS,7510624
2020,4,17,Saint-Victor,3,Avant 1946,non meublé,25.0,30.0,17.5,PARIS,7510517
2024,5,2,Halles,3,1971-1990,meublé,25.8,31.0,18.1,PARIS,7510102
2021,2,4,Place-Vendôme,3,1946-1970,meublé,24.8,29.76,17.36,PARIS,7510104
2019,10,49,Salpêtrière,1,Avant 1946,non meublé,28.5,34.2,20.0,PARIS,7511349
2019,1,25,Saint-Thomas-d'Aquin,3,Avant 1946,non meublé,26.1,31.3,18.3,PARIS,7510725
2025,2,1,St-Germain-l'Auxerrois,4,1971-1990,meublé,27.1,32.5,19.0,PARIS,7510101
2020,6,58,Necker,2,1946-1970,non meublé,24.5,29.4,17.15,PARIS,7511558
2025,4,8,Bonne-Nouvelle,3,1946-1970,meublé,26.8,32.2,18.8,PARIS,7510208
2021,11,71,Goutte-d'Or,4,Apres 1990,non meublé,19.7,23.64,13.79,PARIS,7511871
2020,10,55,Petit-Montrouge,4,1971-1990,meublé,24.9,29.88,17.43,PARIS,7511455
2024,7,60,Javel 15Art,3,1946-1970,non meublé,22.2,26.6,15.5,PARIS,7511560
2021,2,30,Faubourg-du-Roule,4,1971-1990,meublé,25.2,30.24,17.64,PARIS,7510830
2023,5,52,Croulebarbe,2,Apres 1990,non meublé,26.7,32.0,18.7,PARIS,7511352
2025,12,51,Maison-Blanche,2,1971-1990,non meublé,23.3,28.0,16.3,PARIS,7511351
2024,3,32,Europe,4,1946-1970,meublé,29.1,34.9,20.4,PARIS,7510832
2024,1,28,Gros-Caillou,1,1946-1970,meublé,39.4,47.3,27.6,PARIS,7510728
2025,14,79,Père-Lachaise,4,1946-1970,meublé,22.0,26.4,15.4,PARIS,7512079
2022,2,13,Saint-Merri,1,1971-1990,non meublé,29.2,35.04,20.44,PARIS,7510413
2024,11,40,Hôpital-Saint-Louis,4,1971-1990,non meublé,20.1,24.1,14.1,PARIS,7511040
2025,2,15,Arsenal,4,1946-1970,meublé,28.0,33.6,19.6,PARIS,7510415
2022,2,24,Saint-Germain-des-Prés,2,Apres 1990,meublé,30.5,36.6,21.35,PARIS,7510624
2019,2,16,Notre-Dame,3,Avant 1946,non meublé,26.2,31.4,18.3,PARIS,7510416
2024,13,78,Saint-Fargeau,4,1946-1970,non meublé,15.9,19.1,11.1,PARIS,7512078
2022,4,9,Arts-et-Metiers,4,Avant 1946,meublé,28.9,34.68,20.23,PARIS,7510309
2021,11,68,Epinettes,3,1946-1970,meublé,21.6,25.92,15.12,PARIS,7511768
2019,10,44,Sainte-Marguerite,1,Avant 1946,non meublé,28.5,34.2,20.0,PARIS,7511144
2024,2,30,Faubourg-du-Roule,4,Avant 1946,meublé,30.1,36.1,21.1,PARIS,7510830
2023,5,53,Montparnasse,3,Avant 1946,non meublé,23.4,28.1,16.4,PARIS,7511453
2019,7,60,Javel 15Art,1,Avant 1946,non meublé,27.2,32.6,19.0,PARIS,7511560
2020,14,79,Père-Lachaise,3,1971-1990,non meublé,18.5,22.2,12.95,PARIS,7512079
2024,2,3,Palais-Royal,2,Avant 1946,non meublé,29.7,35.6,20.8,PARIS,7510103
2023,10,67,Batignolles,4,1971-1990,non meublé,22.3,26.8,15.6,PARIS,7511767
2022,13,72,La Chapelle,1,Apres 1990,non meublé,23.4,28.08,16.38,PARIS,7511872
2023,1,27,Ecole-Militaire,4,Apres 1990,meublé,34.2,41.0,23.9,PARIS,7510727
2024,5,53,Montparnasse,1,1946-1970,non meublé,29.1,34.9,20.4,PARIS,7511453
2024,2,22,Odeon,3,1971-1990,non meublé,23.8,28.6,16.7,PARIS,7510622
2021,11,41,Folie-Méricourt,4,1946-1970,non meublé,21.5,25.8,15.05,PARIS,7511141
2021,10,44,Sainte-Marguerite,2,1946-1970,meublé,24.5,29.4,17.15,PARIS,7511144
2020,3,63,Porte-Dauphine,3,Apres 1990,meublé,27.2,32.64,19.04,PARIS,7511663
2025,4,20,Sorbonne,1,Avant 1946,non meublé,34.0,40.8,23.8,PARIS,7510520
2024,10,67,Batignolles,4,Avant 1946,non meublé,22.6,27.1,15.8,PARIS,7511767
2025,2,29,Champs-Elysées,3,1946-1970,meublé,26.7,32.0,18.7,PARIS,7510829
2023,1,23,Notre-Dame-des-Champs,3,Apres 1990,non meublé,29.8,35.8,20.9,PARIS,7510623
2021,9,46,Picpus,3,Apres 1990,meublé,25.1,30.12,17.57,PARIS,7511246
2019,13,74,Pont-de-Flandre,3,Avant 1946,meublé,22.8,27.4,16.0,PARIS,7511974
2024,1,25,Saint-Thomas-d'Aquin,1,1971-1990,meublé,38.0,45.6,26.6,PARIS,7510725
2020,6,58,Necker,3,Apres 1990,meublé,27.6,33.12,19.32,PARIS,7511558
2022,14,79,Père-Lachaise,2,Apres 1990,meublé,26.4,31.68,18.48,PARIS,7512079
2022,2,31,Madeleine,1,Avant 1946,non meublé,33.4,40.08,23.38,PARIS,7510831
2022,7,59,Grenelle,2,1971-1990,non meublé,23.9,28.68,16.73,PARIS,7511559
2024,14,45,Bel-Air,3,Apres 1990,non meublé,21.0,25.2,14.7,PARIS,7511245
2020,4,9,Arts-et-Metiers,3,Avant 1946,non meublé,25.0,30.0,17.5,PARIS,7510309
2021,11,39,Porte-Saint-Martin,3,1971-1990,non meublé,19.8,23.76,13.86,PARIS,7511039
2025,3,63,Porte-Dauphine,2,Avant 1946,meublé,31.9,38.3,22.3,PARIS,7511663
2020,2,31,Madeleine,3,1971-1990,non meublé,22.3,26.76,15.61,PARIS,7510831
2021,11,43,Roquette,4,Apres 1990,non meublé,19.7,23.64,13.79,PARIS,7511143
2020,14,47,Bercy,4,1971-1990,meublé,19.8,23.76,13.86,PARIS,7511247
2022,12,51,Maison-Blanche,3,1946-1970,non meublé,20.4,24.48,14.28,PARIS,7511351
2020,3,32,Europe,4,1946-1970,non meublé,24.2,29.04,16.94,PARIS,7510832
2019,2,21,Monnaie,3,Apres 1990,meublé,27.8,33.4,19.5,PARIS,7510621
2022,7,60,Javel 15Art,3,1971-1990,meublé,24.9,29.88,17.43,PARIS,7511560
2019,4,10,Enfants-Rouges,4,1946-1970,meublé,25.8,31.0,18.1,PARIS,7510310
2023,2,5,Gaillon,3,Apres 1990,non meublé,25.7,30.8,18.0,PARIS,7510205
2020,10,44,Sainte-Marguerite,2,1971-1990,meublé,25.2,30.24,17.64,PARIS,7511144
2023,5,52,Croulebarbe,4,1971-1990,meublé,25.0,30.0,17.5,PARIS,7511352
2022,10,55,Petit-Montrouge,2,1946-1970,non meublé,22.4,26.88,15.68,PARIS,7511455
2022,4,12,Sainte-Avoie,2,1971-1990,meublé,26.1,31.32,18.27,PARIS,7510312
2023,12,51,Maison-Blanche,4,Apres 1990,non meublé,22.3,26.8,15.6,PARIS,7511351
2021,3,63,Porte-Dauphine,4,Apres 1990,meublé,28.8,34.56,20.16,PARIS,7511663
2025,7,60,Javel 15Art,3,Avant 1946,meublé,29.2,35.0,20.4,PARIS,7511560
2019,11,40,Hôpital-Saint-Louis,4,1971-1990,meublé,22.7,27.2,15.9,PARIS,7511040
2023,11,43,Roquette,2,Avant 1946,meublé,28.1,33.7,19.7,PARIS,7511143
2020,13,80,Charonne,2,1971-1990,meublé,20.2,24.24,14.14,PARIS,7512080
2022,2,30,Faubourg-du-Roule,2,Avant 1946,non meublé,29.0,34.8,20.3,PARIS,7510830
2021,10,55,Petit-Montrouge,2,Avant 1946,non meublé,24.9,29.88,17.43,PARIS,7511455
2024,5,33,Saint-Georges,1,1946-1970,non meublé,29.1,34.9,20.4,PARIS,7510933
2024,6,66,Plaine de Monceaux,1,Apres 1990,non meublé,28.0,33.6,19.6,PARIS,7511766
2022,5,52,Croulebarbe,1,1971-1990,non meublé,27.5,33.0,19.25,PARIS,7511352
2025,4,10,Enfants-Rouges,4,Avant 1946,non meublé,27.3,32.8,19.1,PARIS,7510310
2020,11,68,Epinettes,3,Avant 1946,non meublé,23.0,27.6,16.1,PARIS,7511768
2023,7,60,Javel 15Art,2,Avant 1946,non meublé,25.0,30.0,17.5,PARIS,7511560
2022,6,58,Necker,4,1971-1990,non meublé,22.6,27.12,15.82,PARIS,7511558
2021,1,26,Invalides,3,Apres 1990,non meublé,29.3,35.16,20.51,PARIS,7510726
2020,14,76,Combat,1,Apres 1990,meublé,29.0,34.8,20.3,PARIS,7511976
2024,10,55,Petit-Montrouge,1,1946-1970,meublé,29.8,35.8,20.9,PARIS,7511455
2020,9,69,Grandes-Carrières,1,Apres 1990,meublé,26.9,32.28,18.83,PARIS,7511869
2020,10,42,Saint-Ambroise,1,1946-1970,meublé,27.6,33.12,19.32,PARIS,7511142
2023,5,33,Saint-Georges,3,1946-1970,meublé,23.5,28.2,16.5,PARIS,7510933
2021,11,71,Goutte-d'Or,2,1946-1970,non meublé,22.8,27.36,15.96,PARIS,7511871
2023,7,59,Grenelle,3,1971-1990,non meublé,22.3,26.8,15.6,PARIS,7511559
2019,2,13,Saint-Merri,1,1946-1970,non meublé,31.8,38.2,22.3,PARIS,7510413
2023,11,39,Porte-Saint-Martin,4,1946-1970,meublé,25.1,30.1,17.6,PARIS,7511039
2025,11,43,Roquette,3,1971-1990,meublé,23.3,28.0,16.3,PARIS,7511143
2021,9,46,Picpus,3,Avant 1946,non meublé,21.9,26.28,15.33,PARIS,7511246
2019,2,13,Saint-Merri,4,1946-1970,meublé,25.2,30.2,17.6,PARIS,7510413
2022,11,54,Parc-de-Montsouris,2,Avant 1946,non meublé,24.7,29.64,17.29,PARIS,7511454
2020,13,72,La Chapelle,3,Apres 1990,non meublé,18.0,21.6,12.6,PARIS,7511872
2021,5,35,Faubourg-Montmartre,4,Avant 1946,meublé,23.0,27.6,16.1,PARIS,7510935
2024,14,45,Bel-Air,4,1946-1970,non meublé,18.5,22.2,12.9,PARIS,7511245
2020,2,24,Saint-Germain-des-Prés,1,Apres 1990,non meublé,32.1,38.52,22.47,PARIS,7510624
2023,3,64,Chaillot,1,Avant 1946,non meublé,28.9,34.7,20.2,PARIS,7511664
2019,2,4,Place-Vendôme,4,Avant 1946,meublé,28.7,34.4,20.1,PARIS,7510104
2024,5,38,Porte-Saint-Denis,4,Avant 1946,non meublé,21.2,25.4,14.8,PARIS,7511038
2021,1,26,Invalides,3,1971-1990,meublé,30.6,36.72,21.42,PARIS,7510726
2021,5,52,Croulebarbe,1,Apres 1990,meublé,32.3,38.76,22.61,PARIS,7511352
2022,10,18,Jardin-des-Plantes,2,Avant 1946,meublé,28.5,34.2,19.95,PARIS,7510518
2019,9,46,Picpus,3,Apres 1990,non meublé,22.4,26.9,15.7,PARIS,7511246
2024,1,25,Saint-Thomas-d'Aquin,3,1946-1970,non meublé,27.8,33.4,19.5,PARIS,7510725
2024,10,42,Saint-Ambroise,1,1971-1990,non meublé,27.7,33.2,19.4,PARIS,7511142
2021,2,13,Saint-Merri,4,1946-1970,non meublé,23.2,27.84,16.24,PARIS,7510413
2020,10,44,Sainte-Marguerite,3,1946-1970,non meublé,20.7,24.84,14.49,PARIS,7511144
2023,2,30,Faubourg-du-Roule,4,Apres 1990,meublé,29.8,35.8,20.9,PARIS,7510830
2023,10,18,Jardin-des-Plantes,1,Avant 1946,meublé,33.7,40.4,23.6,PARIS,7510518
2022,5,52,Croulebarbe,3,1946-1970,non meublé,20.4,24.48,14.28,PARIS,7511352
2025,11,77,Belleville,4,Avant 1946,non meublé,23.2,27.8,16.2,PARIS,7512077
2022,2,29,Champs-Elysées,4,1946-1970,non meublé,23.4,28.08,16.38,PARIS,7510829
2022,1,25,Saint-Thomas-d'Aquin,3,Apres 1990,meublé,33.9,40.68,23.73,PARIS,7510725
2022,2,4,Place-Vendôme,1,1946-1970,meublé,35.7,42.84,24.99,PARIS,7510104
2023,13,72,La Chapelle,1,Avant 1946,meublé,30.4,36.5,21.3,PARIS,7511872
2019,13,75,Amérique,4,1971-1990,meublé,17.3,20.8,12.1,PARIS,7511975
2023,2,31,Madeleine,2,Apres 1990,non meublé,26.9,32.3,18.8,PARIS,7510831
2019,11,40,Hôpital-Saint-Louis,4,Avant 1946,non meublé,21.0,25.2,14.7,PARIS,7511040
2023,5,35,Faubourg-Montmartre,4,1946-1970,non meublé,22.2,26.6,15.5,PARIS,7510935
2023,13,50,Gare,3,1946-1970,meublé,19.5,23.4,13.7,PARIS,7511350
2022,11,68,Epinettes,2,Avant 1946,meublé,27.8,33.36,19.46,PARIS,7511768
2021,4,17,Saint-Victor,1,Apres 1990,meublé,31.7,38.04,22.19,PARIS,7510517
2020,10,42,Saint-Ambroise,1,1971-1990,non meublé,26.6,31.92,18.62,PARIS,7511142
2025,11,48,Quinze-Vingts,4,1946-1970,meublé,26.8,32.2,18.8,PARIS,7511248
2019,2,22,Odeon,2,Apres 1990,non meublé,26.5,31.8,18.6,PARIS,7510622
2024,5,33,Saint-Georges,4,1946-1970,non meublé,22.5,27.0,15.8,PARIS,7510933
2021,8,57,Saint-Lambert,2,Avant 1946,meublé,26.0,31.2,18.2,PARIS,7511557
2022,7,59,Grenelle,4,Apres 1990,non meublé,24.0,28.8,16.8,PARIS,7511559
2024,13,78,Saint-Fargeau,3,1971-1990,meublé,20.3,24.4,14.2,PARIS,7512078
2021,1,28,Gros-Caillou,2,Avant 1946,meublé,32.3,38.76,22.61,PARIS,7510728
2024,4,20,Sorbonne,1,Apres 1990,meublé,33.7,40.4,23.6,PARIS,7510520
2024,2,31,Madeleine,1,1946-1970,meublé,36.9,44.3,25.8,PARIS,7510831
2020,2,34,Chaussée-d'Antin,2,Apres 1990,meublé,30.2,36.24,21.14,PARIS,7510934
2020,11,48,Quinze-Vingts,1,Apres 1990,meublé,27.2,32.64,19.04,PARIS,7511248
2025,13,74,Pont-de-Flandre,2,Apres 1990,meublé,25.4,30.5,17.8,PARIS,7511974
2022,2,5,Gaillon,4,1946-1970,non meublé,23.4,28.08,16.38,PARIS,7510205
2019,10,67,Batignolles,4,1946-1970,meublé,22.8,27.4,16.0,PARIS,7511767
2024,2,21,Monnaie,4,Apres 1990,non meublé,26.8,32.2,18.8,PARIS,7510621
2021,10,55,Petit-Montrouge,1,1946-1970,meublé,27.9,33.48,19.53,PARIS,7511455
2022,3,63,Porte-Dauphine,2,1946-1970,non meublé,26.9,32.28,18.83,PARIS,7511663
2023,9,70,Clignancourt,4,Avant 1946,non meublé,22.3,26.8,15.6,PARIS,7511870
2025,1,25,Saint-Thomas-d'Aquin,4,Apres 1990,non meublé,31.5,37.8,22.1,PARIS,7510725
2021,2,30,Faubourg-du-Roule,2,1971-1990,non meublé,26.0,31.2,18.2,PARIS,7510830
2023,2,15,Arsenal,4,1946-1970,meublé,26.7,32.0,18.7,PARIS,7510415
2023,5,38,Porte-Saint-Denis,1,Avant 1946,meublé,34.4,41.3,24.1,PARIS,7511038
2020,10,44,Sainte-Marguerite,2,1946-1970,non meublé,21.4,25.68,14.98,PARIS,7511144
2019,12,56,Plaisance,2,1971-1990,non meublé,21.0,25.2,14.7,PARIS,7511456
2019,11,39,Porte-Saint-Martin,3,1971-1990,meublé,21.9,26.3,15.3,PARIS,7511039
2019,2,29,Champs-Elysées,4,1946-1970,meublé,25.2,30.2,17.6,PARIS,7510829
2019,13,80,Charonne,3,1971-1990,meublé,18.9,22.7,13.2,PARIS,7512080
2025,10,49,Salpêtrière,2,1946-1970,meublé,27.5,33.0,19.3,PARIS,7511349
2019,4,19,Val-de-Grace,2,1971-1990,non meublé,22.5,27.0,15.8,PARIS,7510519
2019,5,33,Saint-Georges,4,Apres 1990,meublé,23.3,28.0,16.3,PARIS,7510933
2020,6,58,Necker,4,Apres 1990,meublé,27.9,33.48,19.53,PARIS,7511558
2019,5,36,Rochechouart,2,1946-1970,meublé,25.9,31.1,18.1,PARIS,7510936
2021,6,58,Necker,1,1971-1990,non meublé,28.8,34.56,20.16,PARIS,7511558
2023,2,31,Madeleine,3,Apres 1990,non meublé,25.7,30.8,18.0,PARIS,7510831
2022,1,26,Invalides,3,Avant 1946,non meublé,27.2,32.64,19.04,PARIS,7510726
2025,14,79,Père-Lachaise,3,Avant 1946,meublé,25.4,30.5,17.8,PARIS,7512079
2022,13,75,Amérique,1,1971-1990,meublé,24.0,28.8,16.8,PARIS,7511975
2019,11,41,Folie-Méricourt,2,Avant 1946,meublé,26.9,32.3,18.8,PARIS,7511141
2020,11,41,Folie-Méricourt,2,1946-1970,meublé,25.0,30.0,17.5,PARIS,7511141
2024,14,47,Bercy,3,1946-1970,non meublé,20.1,24.1,14.1,PARIS,7511247
2023,8,57,Saint-Lambert,1,Apres 1990,meublé,31.9,38.3,22.3,PARIS,7511557
2023,10,18,Jardin-des-Plantes,2,Avant 1946,non meublé,25.7,30.8,18.0,PARIS,7510518
